"34.77400,1,25,16777215,1615350354,0,41231cc1,46246490174128133",OMG
"34.03000,1,25,16777215,1615350043,0,37f1dfbd,46246326716858373",巫医暗灭？
"61.76700,1,25,16777215,1615348874,0,7f33e7f1,46245713996677123",顶水
"39.07700,1,25,16777215,1615348655,0,471b1cbf,46245599199625223",不是无限火力？
"31.25500,1,25,16777215,1615346547,0,7ab4d652,46244493955956739",omg啊兄弟们，水刀特效刮好几次了
"33.43500,1,25,16777215,1615345753,0,42657bed,46244077699596293",omg
"62.45500,1,25,16777215,1615345490,0,f6a99f66,46243940131143747",51有个水刀？
"49.59900,1,25,16777215,1615344842,0,f5321127,46243600313876487",现在看到了
"25.59800,1,25,16777215,1615344819,0,f5321127,46243587907125251",暗灭51？
"31.93500,1,25,16777215,1615343706,0,193192ad,46243004625190917",看到幽鬼放了个大树的q，一看就是omg，不确定不要乱说
"20.70800,1,25,16777215,1615343485,0,207be95e,46242888625946631",都是4大哥阵容
"57.49500,1,25,16777215,1615342707,0,ca623d2c,46242480601956359",这大石头人和大龙，一个多少经验多少钱？
"48.55900,1,25,16777215,1615342665,0,ca623d2c,46242458543063047",怎么拉这么多的？
"2.00500,1,25,16777215,1615342603,0,ca623d2c,46242426361741317",好多，看得我头皮发麻，密集恐惧症。
"35.88100,1,25,16777215,1615342567,0,ca623d2c,46242407594852355",是OMG模式，技能征召。
"34.57400,1,25,16777215,1615338579,0,9fb5f54b,46240316344238087",很明显是OMG模式，巫医有水刀
"40.15500,1,25,16777215,1615338370,0,914852ef,46240207018131461",OMG啊
"36.19500,1,25,16777215,1615337737,0,4ffb1dcc,46239874928869381",你真的看不出来是omg嘛？
"33.54900,1,25,16777215,1615336615,0,eb97d986,46239286577594373",这不明显的omg
"28.30200,1,25,16777215,1615334456,0,fa28ba2d,46238154702192643",应该是加速模式吧，可能还加了攻击力天赋
"56.53500,1,25,16777215,1615331522,0,4227c9c3,46236616419704837",明明是omg
"41.95400,1,25,16777215,1615316997,0,84c8eb70,46229001478864903",wtf吧
"26.10500,1,25,16777215,1615316980,0,84c8eb70,46228992675020805",wd黯灭……
"722.41100,1,25,16777215,1622608703,0,24af6bb6,50051955319373827",哈哈哈哈哈哈
"108.59900,1,25,16777215,1621911406,0,e964c090,49686370864070663",哈哈哈
"191.87600,1,25,16777215,1621880853,0,7b375f81,49670352330031107",找到老婆了
"407.63900,5,25,15138834,1621674698,0,2f7efce5,49562267478917127",想起来一个视频哈哈哈
"316.71900,5,25,15138834,1621674578,0,2f7efce5,49562204948135943",危
"197.97900,1,25,16777215,1621674448,0,2f7efce5,49562136548474885",好可爱啊啊啊
"215.22500,5,25,15772458,1621400329,0,78fc41ad,49418419525648387",哈哈哈，但我好饿
"178.73200,5,25,15772458,1621400261,0,78fc41ad,49418383832645639",欧吼
"132.32500,1,25,16777215,1621400172,0,78fc41ad,49418336924598277",可怜
"120.48500,1,25,16777215,1621400154,0,78fc41ad,49418327542988805",红红火火恍恍惚惚
"68.64500,1,25,16777215,1621400099,0,78fc41ad,49418298826162181",红红火火恍恍惚惚
"112.97900,1,25,16777215,1621283048,0,b29b53e5,49356930070609923",影响市容？
"380.15000,1,25,16777215,1621173148,0,b1394300,49299310876557315",老鼠的科技比熊还发达
"28.38400,1,25,16777215,1620881702,0,ecd0412c,49146509240303619",三只小鸟：来看憨憨
"728.64700,1,25,16777215,1620834834,0,439ed254,49121937169317895",最大的河流。。
"247.30500,1,25,16777215,1620814680,0,42ad2aef,49111370652712963",一只有学问的老鼠
"487.04400,1,25,16777215,1620492294,0,1f9e3f6e,48942347374821379",摸摸
"408.33900,1,25,16777215,1620149369,0,c77180bc,48762555792883715",哈哈哈哈哈
"1.45900,1,25,16777215,1620148958,0,c77180bc,48762340465180675",我要被可爱死了
"133.46000,1,25,16777215,1619929398,0,710e3e7e,48647227922972679",哈哈哈哈哈哈哈哈城管
"222.54500,1,25,16777215,1619870463,0,870bc2c6,48616329072607235",鬼知道这段我看多少遍。
"409.62900,1,25,16777215,1619862980,0,870bc2c6,48612405845426181",哈哈哈哈哈哈，那个广告
